Date,Provider,Service,Cost
2025-10-11 22:47:26.340543,AWS,Compute (EC2),329.81
2025-10-11 22:47:26.340543,AWS,Storage (S3),112.94
2025-10-11 22:47:26.340543,GCP,BigQuery,201.5
2025-10-11 22:47:26.340543,Azure,Networking,161.2
2025-10-12 22:47:26.340543,AWS,Compute (EC2),317.85
2025-10-12 22:47:26.340543,AWS,Storage (S3),107.28
2025-10-12 22:47:26.340543,GCP,BigQuery,218.5
2025-10-12 22:47:26.340543,Azure,Networking,122.69
2025-10-13 22:47:26.340543,AWS,Compute (EC2),526.12
2025-10-13 22:47:26.340543,AWS,Storage (S3),155.51
2025-10-13 22:47:26.340543,GCP,BigQuery,256.09
2025-10-13 22:47:26.340543,Azure,Networking,214.35
2025-10-14 22:47:26.340543,AWS,Compute (EC2),455.49
2025-10-14 22:47:26.340543,AWS,Storage (S3),151.49
2025-10-14 22:47:26.340543,GCP,BigQuery,323.73
2025-10-14 22:47:26.340543,Azure,Networking,193.56
2025-10-15 22:47:26.340543,AWS,Compute (EC2),508.95
2025-10-15 22:47:26.340543,AWS,Storage (S3),135.72
2025-10-15 22:47:26.340543,GCP,BigQuery,385.62
2025-10-15 22:47:26.340543,Azure,Networking,207.9
2025-10-16 22:47:26.340543,AWS,Compute (EC2),504.88
2025-10-16 22:47:26.340543,AWS,Storage (S3),142.34
2025-10-16 22:47:26.340543,GCP,BigQuery,254.29
2025-10-16 22:47:26.340543,Azure,Networking,235.55
2025-10-17 22:47:26.340543,AWS,Compute (EC2),508.99
2025-10-17 22:47:26.340543,AWS,Storage (S3),150.78
2025-10-17 22:47:26.340543,GCP,BigQuery,295.42
2025-10-17 22:47:26.340543,Azure,Networking,241.92
2025-10-18 22:47:26.340543,AWS,Compute (EC2),375.38
2025-10-18 22:47:26.340543,AWS,Storage (S3),110.17
2025-10-18 22:47:26.340543,GCP,BigQuery,285.09
2025-10-18 22:47:26.340543,Azure,Networking,108.34
2025-10-19 22:47:26.340543,AWS,Compute (EC2),384.39
2025-10-19 22:47:26.340543,AWS,Storage (S3),101.02
2025-10-19 22:47:26.340543,GCP,BigQuery,112.35
2025-10-19 22:47:26.340543,Azure,Networking,169.39
2025-10-20 22:47:26.340543,AWS,Compute (EC2),497.44
2025-10-20 22:47:26.340543,AWS,Storage (S3),145.47
2025-10-20 22:47:26.340543,GCP,BigQuery,325.82
2025-10-20 22:47:26.340543,Azure,Networking,207.85
2025-10-21 22:47:26.340543,AWS,Compute (EC2),378.8
2025-10-21 22:47:26.340543,AWS,Storage (S3),130.75
2025-10-21 22:47:26.340543,GCP,BigQuery,396.29
2025-10-21 22:47:26.340543,Azure,Networking,269.99
2025-10-22 22:47:26.340543,AWS,Compute (EC2),493.34
2025-10-22 22:47:26.340543,AWS,Storage (S3),129.99
2025-10-22 22:47:26.340543,GCP,BigQuery,260.75
2025-10-22 22:47:26.340543,Azure,Networking,228.03
2025-10-23 22:47:26.340543,AWS,Compute (EC2),397.37
2025-10-23 22:47:26.340543,AWS,Storage (S3),160.36
2025-10-23 22:47:26.340543,GCP,BigQuery,220.02
2025-10-23 22:47:26.340543,Azure,Networking,232.53
2025-10-24 22:47:26.340543,AWS,Compute (EC2),533.9
2025-10-24 22:47:26.340543,AWS,Storage (S3),159.93
2025-10-24 22:47:26.340543,GCP,BigQuery,301.96
2025-10-24 22:47:26.340543,Azure,Networking,187.4
2025-10-25 22:47:26.340543,AWS,Compute (EC2),370.04
2025-10-25 22:47:26.340543,AWS,Storage (S3),93.9
2025-10-25 22:47:26.340543,GCP,BigQuery,193.4
2025-10-25 22:47:26.340543,Azure,Networking,133.3
2025-10-26 22:47:26.340543,AWS,Compute (EC2),371.64
2025-10-26 22:47:26.340543,AWS,Storage (S3),105.58
2025-10-26 22:47:26.340543,GCP,BigQuery,230.06
2025-10-26 22:47:26.340543,Azure,Networking,134.94
2025-10-27 22:47:26.340543,AWS,Compute (EC2),463.93
2025-10-27 22:47:26.340543,AWS,Storage (S3),148.63
2025-10-27 22:47:26.340543,GCP,BigQuery,292.08
2025-10-27 22:47:26.340543,Azure,Networking,233.17
2025-10-28 22:47:26.340543,AWS,Compute (EC2),495.6
2025-10-28 22:47:26.340543,AWS,Storage (S3),167.87
2025-10-28 22:47:26.340543,GCP,BigQuery,191.14
2025-10-28 22:47:26.340543,Azure,Networking,194.06
2025-10-29 22:47:26.340543,AWS,Compute (EC2),605.62
2025-10-29 22:47:26.340543,AWS,Storage (S3),151.78
2025-10-29 22:47:26.340543,GCP,BigQuery,298.43
2025-10-29 22:47:26.340543,Azure,Networking,220.96
2025-10-30 22:47:26.340543,AWS,Compute (EC2),516.61
2025-10-30 22:47:26.340543,AWS,Storage (S3),138.8
2025-10-30 22:47:26.340543,GCP,BigQuery,341.84
2025-10-30 22:47:26.340543,Azure,Networking,168.43
2025-10-31 22:47:26.340543,AWS,Compute (EC2),438.24
2025-10-31 22:47:26.340543,AWS,Storage (S3),124.26
2025-10-31 22:47:26.340543,GCP,BigQuery,365.16
2025-10-31 22:47:26.340543,Azure,Networking,223.74
2025-11-01 22:47:26.340543,AWS,Compute (EC2),341.06
2025-11-01 22:47:26.340543,AWS,Storage (S3),103.48
2025-11-01 22:47:26.340543,GCP,BigQuery,256.07
2025-11-01 22:47:26.340543,Azure,Networking,113.37
2025-11-02 22:47:26.340543,AWS,Compute (EC2),322.16
2025-11-02 22:47:26.340543,AWS,Storage (S3),105.73
2025-11-02 22:47:26.340543,GCP,BigQuery,172.65
2025-11-02 22:47:26.340543,Azure,Networking,149.52
2025-11-03 22:47:26.340543,AWS,Compute (EC2),506.53
2025-11-03 22:47:26.340543,AWS,Storage (S3),131.44
2025-11-03 22:47:26.340543,GCP,BigQuery,280.58
2025-11-03 22:47:26.340543,Azure,Networking,159.64
2025-11-04 22:47:26.340543,AWS,Compute (EC2),537.16
2025-11-04 22:47:26.340543,AWS,Storage (S3),170.35
2025-11-04 22:47:26.340543,GCP,BigQuery,380.27
2025-11-04 22:47:26.340543,Azure,Networking,184.39
2025-11-05 22:47:26.340543,AWS,Compute (EC2),468.74
2025-11-05 22:47:26.340543,AWS,Storage (S3),130.5
2025-11-05 22:47:26.340543,GCP,BigQuery,387.26
2025-11-05 22:47:26.340543,Azure,Networking,228.36
2025-11-06 22:47:26.340543,AWS,Compute (EC2),539.93
2025-11-06 22:47:26.340543,AWS,Storage (S3),153.69
2025-11-06 22:47:26.340543,GCP,BigQuery,235.14
2025-11-06 22:47:26.340543,Azure,Networking,226.21
2025-11-07 22:47:26.340543,AWS,Compute (EC2),472.17
2025-11-07 22:47:26.340543,AWS,Storage (S3),153.98
2025-11-07 22:47:26.340543,GCP,BigQuery,422.91
2025-11-07 22:47:26.340543,Azure,Networking,170.4
2025-11-08 22:47:26.340543,AWS,Compute (EC2),339.12
2025-11-08 22:47:26.340543,AWS,Storage (S3),118.54
2025-11-08 22:47:26.340543,GCP,BigQuery,254.84
2025-11-08 22:47:26.340543,Azure,Networking,143.92
2025-11-09 22:47:26.340543,AWS,Compute (EC2),365.07
2025-11-09 22:47:26.340543,AWS,Storage (S3),103.43
2025-11-09 22:47:26.340543,GCP,BigQuery,259.04
2025-11-09 22:47:26.340543,Azure,Networking,119.2
2025-11-10 22:47:26.340543,AWS,Compute (EC2),453.91
2025-11-10 22:47:26.340543,AWS,Storage (S3),150.43
2025-11-10 22:47:26.340543,GCP,BigQuery,257.75
2025-11-10 22:47:26.340543,Azure,Networking,176.8
2025-11-11 22:47:26.340543,AWS,Compute (EC2),476.34
2025-11-11 22:47:26.340543,AWS,Storage (S3),144.24
2025-11-11 22:47:26.340543,GCP,BigQuery,371.86
2025-11-11 22:47:26.340543,Azure,Networking,253.36
2025-11-12 22:47:26.340543,AWS,Compute (EC2),529.5
2025-11-12 22:47:26.340543,AWS,Storage (S3),152.69
2025-11-12 22:47:26.340543,GCP,BigQuery,233.91
2025-11-12 22:47:26.340543,Azure,Networking,226.36
2025-11-13 22:47:26.340543,AWS,Compute (EC2),506.29
2025-11-13 22:47:26.340543,AWS,Storage (S3),142.44
2025-11-13 22:47:26.340543,GCP,BigQuery,294.88
2025-11-13 22:47:26.340543,Azure,Networking,204.33
2025-11-14 22:47:26.340543,AWS,Compute (EC2),556.89
2025-11-14 22:47:26.340543,AWS,Storage (S3),147.08
2025-11-14 22:47:26.340543,GCP,BigQuery,364.56
2025-11-14 22:47:26.340543,Azure,Networking,215.28
2025-11-15 22:47:26.340543,AWS,Compute (EC2),347.73
2025-11-15 22:47:26.340543,AWS,Storage (S3),106.25
2025-11-15 22:47:26.340543,GCP,BigQuery,158.81
2025-11-15 22:47:26.340543,Azure,Networking,147.63
2025-11-16 22:47:26.340543,AWS,Compute (EC2),366.38
2025-11-16 22:47:26.340543,AWS,Storage (S3),121.25
2025-11-16 22:47:26.340543,GCP,BigQuery,190.43
2025-11-16 22:47:26.340543,Azure,Networking,154.22
2025-11-17 22:47:26.340543,AWS,Compute (EC2),429.12
2025-11-17 22:47:26.340543,AWS,Storage (S3),131.47
2025-11-17 22:47:26.340543,GCP,BigQuery,228.08
2025-11-17 22:47:26.340543,Azure,Networking,249.97
2025-11-18 22:47:26.340543,AWS,Compute (EC2),525.05
2025-11-18 22:47:26.340543,AWS,Storage (S3),146.03
2025-11-18 22:47:26.340543,GCP,BigQuery,313.53
2025-11-18 22:47:26.340543,Azure,Networking,175.51
2025-11-19 22:47:26.340543,AWS,Compute (EC2),555.01
2025-11-19 22:47:26.340543,AWS,Storage (S3),160.65
2025-11-19 22:47:26.340543,GCP,BigQuery,230.73
2025-11-19 22:47:26.340543,Azure,Networking,182.6
2025-11-20 22:47:26.340543,AWS,Compute (EC2),475.21
2025-11-20 22:47:26.340543,AWS,Storage (S3),149.71
2025-11-20 22:47:26.340543,GCP,BigQuery,326.69
2025-11-20 22:47:26.340543,Azure,Networking,191.18
2025-11-21 22:47:26.340543,AWS,Compute (EC2),548.71
2025-11-21 22:47:26.340543,AWS,Storage (S3),146.29
2025-11-21 22:47:26.340543,GCP,BigQuery,429.53
2025-11-21 22:47:26.340543,Azure,Networking,209.72
2025-11-22 22:47:26.340543,AWS,Compute (EC2),369.0
2025-11-22 22:47:26.340543,AWS,Storage (S3),108.28
2025-11-22 22:47:26.340543,GCP,BigQuery,251.37
2025-11-22 22:47:26.340543,Azure,Networking,150.69
2025-11-23 22:47:26.340543,AWS,Compute (EC2),383.73
2025-11-23 22:47:26.340543,AWS,Storage (S3),99.41
2025-11-23 22:47:26.340543,GCP,BigQuery,148.03
2025-11-23 22:47:26.340543,Azure,Networking,141.53
2025-11-24 22:47:26.340543,AWS,Compute (EC2),494.71
2025-11-24 22:47:26.340543,AWS,Storage (S3),152.72
2025-11-24 22:47:26.340543,GCP,BigQuery,219.79
2025-11-24 22:47:26.340543,Azure,Networking,196.75
2025-11-25 22:47:26.340543,AWS,Compute (EC2),525.4
2025-11-25 22:47:26.340543,AWS,Storage (S3),154.58
2025-11-25 22:47:26.340543,GCP,BigQuery,436.96
2025-11-25 22:47:26.340543,Azure,Networking,205.04
2025-11-26 22:47:26.340543,AWS,Compute (EC2),555.42
2025-11-26 22:47:26.340543,AWS,Storage (S3),152.8
2025-11-26 22:47:26.340543,GCP,BigQuery,195.06
2025-11-26 22:47:26.340543,Azure,Networking,209.79
2025-11-27 22:47:26.340543,AWS,Compute (EC2),558.45
2025-11-27 22:47:26.340543,AWS,Storage (S3),158.15
2025-11-27 22:47:26.340543,GCP,BigQuery,263.73
2025-11-27 22:47:26.340543,Azure,Networking,205.09
2025-11-28 22:47:26.340543,AWS,Compute (EC2),457.31
2025-11-28 22:47:26.340543,AWS,Storage (S3),150.25
2025-11-28 22:47:26.340543,GCP,BigQuery,188.34
2025-11-28 22:47:26.340543,Azure,Networking,215.36
2025-11-29 22:47:26.340543,AWS,Compute (EC2),424.2
2025-11-29 22:47:26.340543,AWS,Storage (S3),107.47
2025-11-29 22:47:26.340543,GCP,BigQuery,147.39
2025-11-29 22:47:26.340543,Azure,Networking,145.33
2025-11-30 22:47:26.340543,AWS,Compute (EC2),371.36
2025-11-30 22:47:26.340543,AWS,Storage (S3),106.37
2025-11-30 22:47:26.340543,GCP,BigQuery,239.33
2025-11-30 22:47:26.340543,Azure,Networking,148.18
2025-12-01 22:47:26.340543,AWS,Compute (EC2),572.42
2025-12-01 22:47:26.340543,AWS,Storage (S3),133.7
2025-12-01 22:47:26.340543,GCP,BigQuery,335.86
2025-12-01 22:47:26.340543,Azure,Networking,226.34
2025-12-02 22:47:26.340543,AWS,Compute (EC2),490.78
2025-12-02 22:47:26.340543,AWS,Storage (S3),159.04
2025-12-02 22:47:26.340543,GCP,BigQuery,374.35
2025-12-02 22:47:26.340543,Azure,Networking,169.95
2025-12-03 22:47:26.340543,AWS,Compute (EC2),572.91
2025-12-03 22:47:26.340543,AWS,Storage (S3),146.54
2025-12-03 22:47:26.340543,GCP,BigQuery,214.98
2025-12-03 22:47:26.340543,Azure,Networking,160.48
2025-12-04 22:47:26.340543,AWS,Compute (EC2),565.97
2025-12-04 22:47:26.340543,AWS,Storage (S3),149.33
2025-12-04 22:47:26.340543,GCP,BigQuery,249.03
2025-12-04 22:47:26.340543,Azure,Networking,199.76
2025-12-05 22:47:26.340543,AWS,Compute (EC2),429.04
2025-12-05 22:47:26.340543,AWS,Storage (S3),183.54
2025-12-05 22:47:26.340543,GCP,BigQuery,444.7
2025-12-05 22:47:26.340543,Azure,Networking,240.19
2025-12-06 22:47:26.340543,AWS,Compute (EC2),345.61
2025-12-06 22:47:26.340543,AWS,Storage (S3),109.77
2025-12-06 22:47:26.340543,GCP,BigQuery,293.74
2025-12-06 22:47:26.340543,Azure,Networking,146.57
2025-12-07 22:47:26.340543,AWS,Compute (EC2),263.95
2025-12-07 22:47:26.340543,AWS,Storage (S3),101.28
2025-12-07 22:47:26.340543,GCP,BigQuery,170.87
2025-12-07 22:47:26.340543,Azure,Networking,128.63
2025-12-08 22:47:26.340543,AWS,Compute (EC2),521.65
2025-12-08 22:47:26.340543,AWS,Storage (S3),140.92
2025-12-08 22:47:26.340543,GCP,BigQuery,175.39
2025-12-08 22:47:26.340543,Azure,Networking,172.5
2025-12-09 22:47:26.340543,AWS,Compute (EC2),538.83
2025-12-09 22:47:26.340543,AWS,Storage (S3),143.74
2025-12-09 22:47:26.340543,GCP,BigQuery,289.09
2025-12-09 22:47:26.340543,Azure,Networking,190.5
2025-12-10 22:47:26.340543,AWS,Compute (EC2),522.94
2025-12-10 22:47:26.340543,AWS,Storage (S3),156.33
2025-12-10 22:47:26.340543,GCP,BigQuery,128.54
2025-12-10 22:47:26.340543,Azure,Networking,186.07
2025-12-11 22:47:26.340543,AWS,Compute (EC2),449.81
2025-12-11 22:47:26.340543,AWS,Storage (S3),160.24
2025-12-11 22:47:26.340543,GCP,BigQuery,318.48
2025-12-11 22:47:26.340543,Azure,Networking,199.04
2025-12-12 22:47:26.340543,AWS,Compute (EC2),426.88
2025-12-12 22:47:26.340543,AWS,Storage (S3),153.51
2025-12-12 22:47:26.340543,GCP,BigQuery,256.38
2025-12-12 22:47:26.340543,Azure,Networking,175.24
2025-12-13 22:47:26.340543,AWS,Compute (EC2),338.9
2025-12-13 22:47:26.340543,AWS,Storage (S3),111.73
2025-12-13 22:47:26.340543,GCP,BigQuery,231.99
2025-12-13 22:47:26.340543,Azure,Networking,126.59
2025-12-14 22:47:26.340543,AWS,Compute (EC2),350.24
2025-12-14 22:47:26.340543,AWS,Storage (S3),107.53
2025-12-14 22:47:26.340543,GCP,BigQuery,258.0
2025-12-14 22:47:26.340543,Azure,Networking,116.07
2025-12-15 22:47:26.340543,AWS,Compute (EC2),631.47
2025-12-15 22:47:26.340543,AWS,Storage (S3),170.49
2025-12-15 22:47:26.340543,GCP,BigQuery,379.06
2025-12-15 22:47:26.340543,Azure,Networking,185.66
2025-12-16 22:47:26.340543,AWS,Compute (EC2),547.33
2025-12-16 22:47:26.340543,AWS,Storage (S3),137.65
2025-12-16 22:47:26.340543,GCP,BigQuery,187.7
2025-12-16 22:47:26.340543,Azure,Networking,201.32
2025-12-17 22:47:26.340543,AWS,Compute (EC2),508.32
2025-12-17 22:47:26.340543,AWS,Storage (S3),153.42
2025-12-17 22:47:26.340543,GCP,BigQuery,276.76
2025-12-17 22:47:26.340543,Azure,Networking,205.57
2025-12-18 22:47:26.340543,AWS,Compute (EC2),513.93
2025-12-18 22:47:26.340543,AWS,Storage (S3),153.47
2025-12-18 22:47:26.340543,GCP,BigQuery,261.94
2025-12-18 22:47:26.340543,Azure,Networking,217.33
2025-12-19 22:47:26.340543,AWS,Compute (EC2),500.65
2025-12-19 22:47:26.340543,AWS,Storage (S3),143.5
2025-12-19 22:47:26.340543,GCP,BigQuery,390.79
2025-12-19 22:47:26.340543,Azure,Networking,213.59
2025-12-20 22:47:26.340543,AWS,Compute (EC2),352.48
2025-12-20 22:47:26.340543,AWS,Storage (S3),110.3
2025-12-20 22:47:26.340543,GCP,BigQuery,214.37
2025-12-20 22:47:26.340543,Azure,Networking,141.22
2025-12-21 22:47:26.340543,AWS,Compute (EC2),397.93
2025-12-21 22:47:26.340543,AWS,Storage (S3),114.1
2025-12-21 22:47:26.340543,GCP,BigQuery,201.04
2025-12-21 22:47:26.340543,Azure,Networking,147.86
2025-12-22 22:47:26.340543,AWS,Compute (EC2),480.43
2025-12-22 22:47:26.340543,AWS,Storage (S3),125.2
2025-12-22 22:47:26.340543,GCP,BigQuery,416.94
2025-12-22 22:47:26.340543,Azure,Networking,221.69
2025-12-23 22:47:26.340543,AWS,Compute (EC2),526.79
2025-12-23 22:47:26.340543,AWS,Storage (S3),145.35
2025-12-23 22:47:26.340543,GCP,BigQuery,269.86
2025-12-23 22:47:26.340543,Azure,Networking,204.46
2025-12-24 22:47:26.340543,AWS,Compute (EC2),461.87
2025-12-24 22:47:26.340543,AWS,Storage (S3),142.77
2025-12-24 22:47:26.340543,GCP,BigQuery,416.51
2025-12-24 22:47:26.340543,Azure,Networking,230.41
2025-12-25 22:47:26.340543,AWS,Compute (EC2),476.15
2025-12-25 22:47:26.340543,AWS,Storage (S3),137.22
2025-12-25 22:47:26.340543,GCP,BigQuery,294.39
2025-12-25 22:47:26.340543,Azure,Networking,167.17
2025-12-26 22:47:26.340543,AWS,Compute (EC2),485.35
2025-12-26 22:47:26.340543,AWS,Storage (S3),147.05
2025-12-26 22:47:26.340543,GCP,BigQuery,293.41
2025-12-26 22:47:26.340543,Azure,Networking,175.53
2025-12-27 22:47:26.340543,AWS,Compute (EC2),381.32
2025-12-27 22:47:26.340543,AWS,Storage (S3),95.16
2025-12-27 22:47:26.340543,GCP,BigQuery,203.13
2025-12-27 22:47:26.340543,Azure,Networking,94.3
2025-12-28 22:47:26.340543,AWS,Compute (EC2),308.62
2025-12-28 22:47:26.340543,AWS,Storage (S3),97.13
2025-12-28 22:47:26.340543,GCP,BigQuery,288.53
2025-12-28 22:47:26.340543,Azure,Networking,121.94
2025-12-29 22:47:26.340543,AWS,Compute (EC2),549.83
2025-12-29 22:47:26.340543,AWS,Storage (S3),162.46
2025-12-29 22:47:26.340543,GCP,BigQuery,283.81
2025-12-29 22:47:26.340543,Azure,Networking,258.62
2025-12-30 22:47:26.340543,AWS,Compute (EC2),498.0
2025-12-30 22:47:26.340543,AWS,Storage (S3),148.38
2025-12-30 22:47:26.340543,GCP,BigQuery,149.65
2025-12-30 22:47:26.340543,Azure,Networking,198.84
2025-12-31 22:47:26.340543,AWS,Compute (EC2),567.24
2025-12-31 22:47:26.340543,AWS,Storage (S3),154.27
2025-12-31 22:47:26.340543,GCP,BigQuery,238.79
2025-12-31 22:47:26.340543,Azure,Networking,174.01
2026-01-01 22:47:26.340543,AWS,Compute (EC2),521.89
2026-01-01 22:47:26.340543,AWS,Storage (S3),136.78
2026-01-01 22:47:26.340543,GCP,BigQuery,379.93
2026-01-01 22:47:26.340543,Azure,Networking,232.72
2026-01-02 22:47:26.340543,AWS,Compute (EC2),536.25
2026-01-02 22:47:26.340543,AWS,Storage (S3),153.63
2026-01-02 22:47:26.340543,GCP,BigQuery,243.56
2026-01-02 22:47:26.340543,Azure,Networking,196.02
2026-01-03 22:47:26.340543,AWS,Compute (EC2),312.17
2026-01-03 22:47:26.340543,AWS,Storage (S3),103.25
2026-01-03 22:47:26.340543,GCP,BigQuery,152.25
2026-01-03 22:47:26.340543,Azure,Networking,104.81
2026-01-04 22:47:26.340543,AWS,Compute (EC2),367.87
2026-01-04 22:47:26.340543,AWS,Storage (S3),114.86
2026-01-04 22:47:26.340543,GCP,BigQuery,171.19
2026-01-04 22:47:26.340543,Azure,Networking,109.98
2026-01-05 22:47:26.340543,AWS,Compute (EC2),571.03
2026-01-05 22:47:26.340543,AWS,Storage (S3),156.2
2026-01-05 22:47:26.340543,GCP,BigQuery,116.44
2026-01-05 22:47:26.340543,Azure,Networking,182.14
2026-01-06 22:47:26.340543,AWS,Compute (EC2),485.5
2026-01-06 22:47:26.340543,AWS,Storage (S3),147.89
2026-01-06 22:47:26.340543,GCP,BigQuery,279.48
2026-01-06 22:47:26.340543,Azure,Networking,240.19
2026-01-07 22:47:26.340543,AWS,Compute (EC2),490.58
2026-01-07 22:47:26.340543,AWS,Storage (S3),149.57
2026-01-07 22:47:26.340543,GCP,BigQuery,381.89
2026-01-07 22:47:26.340543,Azure,Networking,235.45
2026-01-08 22:47:26.340543,AWS,Compute (EC2),464.08
2026-01-08 22:47:26.340543,AWS,Storage (S3),137.5
2026-01-08 22:47:26.340543,GCP,BigQuery,199.35
2026-01-08 22:47:26.340543,Azure,Networking,165.22
2026-01-09 22:47:26.340543,AWS,Compute (EC2),490.21
2026-01-09 22:47:26.340543,AWS,Storage (S3),153.33
2026-01-09 22:47:26.340543,GCP,BigQuery,382.91
2026-01-09 22:47:26.340543,Azure,Networking,232.24
2026-01-10 22:47:26.340543,AWS,Compute (EC2),366.72
2026-01-10 22:47:26.340543,AWS,Storage (S3),102.95
2026-01-10 22:47:26.340543,GCP,BigQuery,170.08
2026-01-10 22:47:26.340543,Azure,Networking,135.27
2026-01-11 22:47:26.340543,AWS,Compute (EC2),392.84
2026-01-11 22:47:26.340543,AWS,Storage (S3),117.96
2026-01-11 22:47:26.340543,GCP,BigQuery,235.42
2026-01-11 22:47:26.340543,Azure,Networking,144.05
2026-01-12 22:47:26.340543,AWS,Compute (EC2),470.64
2026-01-12 22:47:26.340543,AWS,Storage (S3),134.27
2026-01-12 22:47:26.340543,GCP,BigQuery,283.75
2026-01-12 22:47:26.340543,Azure,Networking,203.88
2026-01-13 22:47:26.340543,AWS,Compute (EC2),453.7
2026-01-13 22:47:26.340543,AWS,Storage (S3),146.02
2026-01-13 22:47:26.340543,GCP,BigQuery,402.42
2026-01-13 22:47:26.340543,Azure,Networking,214.59
2026-01-14 22:47:26.340543,AWS,Compute (EC2),513.27
2026-01-14 22:47:26.340543,AWS,Storage (S3),154.01
2026-01-14 22:47:26.340543,GCP,BigQuery,393.2
2026-01-14 22:47:26.340543,Azure,Networking,215.18
2026-01-15 22:47:26.340543,AWS,Compute (EC2),579.82
2026-01-15 22:47:26.340543,AWS,Storage (S3),152.16
2026-01-15 22:47:26.340543,GCP,BigQuery,229.21
2026-01-15 22:47:26.340543,Azure,Networking,205.32
2026-01-16 22:47:26.340543,AWS,Compute (EC2),459.19
2026-01-16 22:47:26.340543,AWS,Storage (S3),141.91
2026-01-16 22:47:26.340543,GCP,BigQuery,230.53
2026-01-16 22:47:26.340543,Azure,Networking,160.91
2026-01-17 22:47:26.340543,AWS,Compute (EC2),344.94
2026-01-17 22:47:26.340543,AWS,Storage (S3),112.97
2026-01-17 22:47:26.340543,GCP,BigQuery,160.8
2026-01-17 22:47:26.340543,Azure,Networking,142.66
2026-01-18 22:47:26.340543,AWS,Compute (EC2),313.68
2026-01-18 22:47:26.340543,AWS,Storage (S3),98.01
2026-01-18 22:47:26.340543,GCP,BigQuery,247.59
2026-01-18 22:47:26.340543,Azure,Networking,137.7
2026-01-19 22:47:26.340543,AWS,Compute (EC2),515.01
2026-01-19 22:47:26.340543,AWS,Storage (S3),138.7
2026-01-19 22:47:26.340543,GCP,BigQuery,260.7
2026-01-19 22:47:26.340543,Azure,Networking,167.83
2026-01-20 22:47:26.340543,AWS,Compute (EC2),458.09
2026-01-20 22:47:26.340543,AWS,Storage (S3),148.06
2026-01-20 22:47:26.340543,GCP,BigQuery,459.24
2026-01-20 22:47:26.340543,Azure,Networking,198.07
2026-01-21 22:47:26.340543,AWS,Compute (EC2),500.22
2026-01-21 22:47:26.340543,AWS,Storage (S3),151.95
2026-01-21 22:47:26.340543,GCP,BigQuery,268.92
2026-01-21 22:47:26.340543,Azure,Networking,226.87
2026-01-22 22:47:26.340543,AWS,Compute (EC2),518.77
